jurisdiction,week,first_dose,second_dose,vaccine
Connecticut,04/05/2021,53900,0,janssen
Maine,04/05/2021,20600,0,janssen
Massachusetts,04/05/2021,103800,0,janssen
New Hampshire,04/05/2021,20600,0,janssen
Rhode Island,04/05/2021,16200,0,janssen
Vermont,04/05/2021,9700,0,janssen
New Jersey,04/05/2021,131600,0,janssen
New York,04/05/2021,167600,0,janssen
New York City,04/05/2021,127200,0,janssen
Puerto Rico,04/05/2021,51400,0,janssen
U.S. Virgin Islands,04/05/2021,1600,0,janssen
Delaware,04/05/2021,14300,0,janssen
District of Columbia,04/05/2021,10800,0,janssen
Maryland,04/05/2021,88800,0,janssen
Pennsylvania,04/05/2021,169200,0,janssen
Philadelphia,04/05/2021,23500,0,janssen
Virginia,04/05/2021,124700,0,janssen
West Virginia,04/05/2021,27800,0,janssen
Alabama,04/05/2021,71800,0,janssen
Florida,04/05/2021,313200,0,janssen
Georgia,04/05/2021,148500,0,janssen
Kentucky,04/05/2021,65300,0,janssen
Mississippi,04/05/2021,43200,0,janssen
North Carolina,04/05/2021,149800,0,janssen
South Carolina,04/05/2021,73500,0,janssen
Tennessee,04/05/2021,98100,0,janssen
Chicago,04/05/2021,39900,0,janssen
Illinois,04/05/2021,148600,0,janssen
Indiana,04/05/2021,96500,0,janssen
Michigan,04/05/2021,147800,0,janssen
Minnesota,04/05/2021,80800,0,janssen
Ohio,04/05/2021,171900,0,janssen
Wisconsin,04/05/2021,85900,0,janssen
Arkansas,04/05/2021,43500,0,janssen
Louisiana,04/05/2021,67700,0,janssen
New Mexico,04/05/2021,30800,0,janssen
Oklahoma,04/05/2021,56400,0,janssen
Texas,04/05/2021,392100,0,janssen
Iowa,04/05/2021,45800,0,janssen
Kansas,04/05/2021,41800,0,janssen
Missouri,04/05/2021,89600,0,janssen
Nebraska,04/05/2021,27600,0,janssen
Colorado,04/05/2021,81400,0,janssen
Montana,04/05/2021,15600,0,janssen
North Dakota,04/05/2021,11300,0,janssen
South Dakota,04/05/2021,12500,0,janssen
Utah,04/05/2021,40700,0,janssen
Wyoming,04/05/2021,8500,0,janssen
Arizona,04/05/2021,101700,0,janssen
California,04/05/2021,572700,0,janssen
Hawaii,04/05/2021,21300,0,janssen
Nevada,04/05/2021,42900,0,janssen
American Samoa,04/05/2021,3700,0,janssen
Guam,04/05/2021,16900,0,janssen
Marshall Islands,04/05/2021,9600,0,janssen
Micronesia,04/05/2021,15900,0,janssen
Mariana Islands,04/05/2021,1600,0,janssen
Palau,04/05/2021,3200,0,janssen
Alaska,04/05/2021,15800,0,janssen
Idaho,04/05/2021,23800,0,janssen
Oregon,04/05/2021,61400,0,janssen
Washington,04/05/2021,109000,0,janssen
Federal Entities,04/05/2021,84600,0,janssen
Connecticut,03/29/2021,21200,0,janssen
Maine,03/29/2021,8100,0,janssen
Massachusetts,03/29/2021,40800,0,janssen
New Hampshire,03/29/2021,8100,0,janssen
Rhode Island,03/29/2021,6400,0,janssen
Vermont,03/29/2021,3900,0,janssen
New Jersey,03/29/2021,51700,0,janssen
New York,03/29/2021,65800,0,janssen
New York City,03/29/2021,49900,0,janssen
Puerto Rico,03/29/2021,20300,0,janssen
U.S. Virgin Islands,03/29/2021,700,0,janssen
Delaware,03/29/2021,5600,0,janssen
District of Columbia,03/29/2021,4300,0,janssen
Maryland,03/29/2021,34900,0,janssen
Pennsylvania,03/29/2021,66400,0,janssen
Philadelphia,03/29/2021,9200,0,janssen
Virginia,03/29/2021,49000,0,janssen
West Virginia,03/29/2021,11000,0,janssen
Alabama,03/29/2021,28300,0,janssen
Florida,03/29/2021,122900,0,janssen
Georgia,03/29/2021,58400,0,janssen
Kentucky,03/29/2021,25700,0,janssen
Mississippi,03/29/2021,17100,0,janssen
North Carolina,03/29/2021,58800,0,janssen
South Carolina,03/29/2021,28900,0,janssen
Tennessee,03/29/2021,38600,0,janssen
Chicago,03/29/2021,15700,0,janssen
Illinois,03/29/2021,58400,0,janssen
Indiana,03/29/2021,38000,0,janssen
Michigan,03/29/2021,58100,0,janssen
Minnesota,03/29/2021,31800,0,janssen
Ohio,03/29/2021,67400,0,janssen
Wisconsin,03/29/2021,33800,0,janssen
Arkansas,03/29/2021,17200,0,janssen
Louisiana,03/29/2021,26600,0,janssen
New Mexico,03/29/2021,12100,0,janssen
Oklahoma,03/29/2021,22200,0,janssen
Texas,03/29/2021,153900,0,janssen
Iowa,03/29/2021,18100,0,janssen
Kansas,03/29/2021,16500,0,janssen
Missouri,03/29/2021,35200,0,janssen
Nebraska,03/29/2021,10900,0,janssen
Colorado,03/29/2021,32000,0,janssen
Montana,03/29/2021,6100,0,janssen
North Dakota,03/29/2021,4500,0,janssen
South Dakota,03/29/2021,5000,0,janssen
Utah,03/29/2021,16100,0,janssen
Wyoming,03/29/2021,3400,0,janssen
Arizona,03/29/2021,40000,0,janssen
California,03/29/2021,224600,0,janssen
Hawaii,03/29/2021,8400,0,janssen
Nevada,03/29/2021,16900,0,janssen
American Samoa,03/29/2021,300,0,janssen
Guam,03/29/2021,900,0,janssen
Marshall Islands,03/29/2021,400,0,janssen
Micronesia,03/29/2021,600,0,janssen
Mariana Islands,03/29/2021,400,0,janssen
Palau,03/29/2021,200,0,janssen
Alaska,03/29/2021,6300,0,janssen
Idaho,03/29/2021,9500,0,janssen
Oregon,03/29/2021,24200,0,janssen
Washington,03/29/2021,42800,0,janssen
Federal Entities,03/29/2021,16700,0,janssen
Connecticut,03/22/2021,4200,0,janssen
Maine,03/22/2021,1600,0,janssen
Massachusetts,03/22/2021,8000,0,janssen
New Hampshire,03/22/2021,1600,0,janssen
Rhode Island,03/22/2021,1300,0,janssen
Vermont,03/22/2021,800,0,janssen
New Jersey,03/22/2021,10200,0,janssen
New York,03/22/2021,12900,0,janssen
New York City,03/22/2021,9800,0,janssen
Puerto Rico,03/22/2021,4000,0,janssen
U.S. Virgin Islands,03/22/2021,200,0,janssen
Delaware,03/22/2021,1100,0,janssen
District of Columbia,03/22/2021,900,0,janssen
Maryland,03/22/2021,6900,0,janssen
Pennsylvania,03/22/2021,13000,0,janssen
Philadelphia,03/22/2021,1800,0,janssen
Virginia,03/22/2021,9600,0,janssen
West Virginia,03/22/2021,2200,0,janssen
Alabama,03/22/2021,5600,0,janssen
Florida,03/22/2021,24100,0,janssen
Georgia,03/22/2021,11500,0,janssen
Kentucky,03/22/2021,5100,0,janssen
Mississippi,03/22/2021,3400,0,janssen
North Carolina,03/22/2021,11500,0,janssen
South Carolina,03/22/2021,5700,0,janssen
Tennessee,03/22/2021,7600,0,janssen
Chicago,03/22/2021,3100,0,janssen
Illinois,03/22/2021,11500,0,janssen
Indiana,03/22/2021,7500,0,janssen
Michigan,03/22/2021,11400,0,janssen
Minnesota,03/22/2021,6300,0,janssen
Ohio,03/22/2021,13200,0,janssen
Wisconsin,03/22/2021,6700,0,janssen
Arkansas,03/22/2021,3400,0,janssen
Louisiana,03/22/2021,5200,0,janssen
New Mexico,03/22/2021,2400,0,janssen
Oklahoma,03/22/2021,4400,0,janssen
Texas,03/22/2021,30200,0,janssen
Iowa,03/22/2021,3600,0,janssen
Kansas,03/22/2021,3300,0,janssen
Missouri,03/22/2021,6900,0,janssen
Nebraska,03/22/2021,2200,0,janssen
Colorado,03/22/2021,6300,0,janssen
Montana,03/22/2021,1200,0,janssen
North Dakota,03/22/2021,900,0,janssen
South Dakota,03/22/2021,1000,0,janssen
Utah,03/22/2021,3200,0,janssen
Wyoming,03/22/2021,700,0,janssen
Arizona,03/22/2021,7900,0,janssen
California,03/22/2021,44000,0,janssen
Hawaii,03/22/2021,1700,0,janssen
Nevada,03/22/2021,3300,0,janssen
American Samoa,03/22/2021,100,0,janssen
Guam,03/22/2021,200,0,janssen
Marshall Islands,03/22/2021,100,0,janssen
Micronesia,03/22/2021,100,0,janssen
Mariana Islands,03/22/2021,100,0,janssen
Palau,03/22/2021,100,0,janssen
Alaska,03/22/2021,1300,0,janssen
Idaho,03/22/2021,1900,0,janssen
Oregon,03/22/2021,4800,0,janssen
Washington,03/22/2021,8400,0,janssen
Federal Entities,03/22/2021,16700,0,janssen
Connecticut,03/15/2021,4200,0,janssen
Maine,03/15/2021,1600,0,janssen
Massachusetts,03/15/2021,8000,0,janssen
New Hampshire,03/15/2021,1600,0,janssen
Rhode Island,03/15/2021,1300,0,janssen
Vermont,03/15/2021,800,0,janssen
New Jersey,03/15/2021,10200,0,janssen
New York,03/15/2021,12900,0,janssen
New York City,03/15/2021,9800,0,janssen
Puerto Rico,03/15/2021,4000,0,janssen
U.S. Virgin Islands,03/15/2021,200,0,janssen
Delaware,03/15/2021,1100,0,janssen
District of Columbia,03/15/2021,900,0,janssen
Maryland,03/15/2021,6900,0,janssen
Pennsylvania,03/15/2021,13000,0,janssen
Philadelphia,03/15/2021,1800,0,janssen
Virginia,03/15/2021,9600,0,janssen
West Virginia,03/15/2021,2200,0,janssen
Alabama,03/15/2021,5600,0,janssen
Florida,03/15/2021,24100,0,janssen
Georgia,03/15/2021,11500,0,janssen
Kentucky,03/15/2021,5100,0,janssen
Mississippi,03/15/2021,3400,0,janssen
North Carolina,03/15/2021,11500,0,janssen
South Carolina,03/15/2021,5700,0,janssen
Tennessee,03/15/2021,7600,0,janssen
Chicago,03/15/2021,3100,0,janssen
Illinois,03/15/2021,11500,0,janssen
Indiana,03/15/2021,7500,0,janssen
Michigan,03/15/2021,11400,0,janssen
Minnesota,03/15/2021,6300,0,janssen
Ohio,03/15/2021,13200,0,janssen
Wisconsin,03/15/2021,6700,0,janssen
Arkansas,03/15/2021,3400,0,janssen
Louisiana,03/15/2021,5200,0,janssen
New Mexico,03/15/2021,2400,0,janssen
Oklahoma,03/15/2021,4400,0,janssen
Texas,03/15/2021,30200,0,janssen
Iowa,03/15/2021,3600,0,janssen
Kansas,03/15/2021,3300,0,janssen
Missouri,03/15/2021,6900,0,janssen
Nebraska,03/15/2021,2200,0,janssen
Colorado,03/15/2021,6300,0,janssen
Montana,03/15/2021,1200,0,janssen
North Dakota,03/15/2021,900,0,janssen
South Dakota,03/15/2021,1000,0,janssen
Utah,03/15/2021,3200,0,janssen
Wyoming,03/15/2021,700,0,janssen
Arizona,03/15/2021,7900,0,janssen
California,03/15/2021,44000,0,janssen
Hawaii,03/15/2021,1700,0,janssen
Nevada,03/15/2021,3300,0,janssen
American Samoa,03/15/2021,100,0,janssen
Guam,03/15/2021,200,0,janssen
Marshall Islands,03/15/2021,100,0,janssen
Micronesia,03/15/2021,100,0,janssen
Mariana Islands,03/15/2021,100,0,janssen
Palau,03/15/2021,100,0,janssen
Alaska,03/15/2021,1300,0,janssen
Idaho,03/15/2021,1900,0,janssen
Oregon,03/15/2021,4800,0,janssen
Washington,03/15/2021,8400,0,janssen
Federal Entities,03/15/2021,120500,0,janssen
Connecticut,03/01/2021,30200,0,janssen
Maine,03/01/2021,11500,0,janssen
Massachusetts,03/01/2021,58100,0,janssen
New Hampshire,03/01/2021,11600,0,janssen
Rhode Island,03/01/2021,9100,0,janssen
Vermont,03/01/2021,5400,0,janssen
New Jersey,03/01/2021,73600,0,janssen
New York,03/01/2021,93700,0,janssen
New York City,03/01/2021,71100,0,janssen
Puerto Rico,03/01/2021,28800,0,janssen
U.S. Virgin Islands,03/01/2021,900,0,janssen
Delaware,03/01/2021,8000,0,janssen
District of Columbia,03/01/2021,6000,0,janssen
Maryland,03/01/2021,49600,0,janssen
Pennsylvania,03/01/2021,94600,0,janssen
Philadelphia,03/01/2021,13100,0,janssen
Virginia,03/01/2021,69700,0,janssen
West Virginia,03/01/2021,15500,0,janssen
Alabama,03/01/2021,40100,0,janssen
Florida,03/01/2021,175100,0,janssen
Georgia,03/01/2021,83000,0,janssen
Kentucky,03/01/2021,36500,0,janssen
Mississippi,03/01/2021,24200,0,janssen
North Carolina,03/01/2021,83700,0,janssen
South Carolina,03/01/2021,41100,0,janssen
Tennessee,03/01/2021,54800,0,janssen
Chicago,03/01/2021,22300,0,janssen
Illinois,03/01/2021,83100,0,janssen
Indiana,03/01/2021,53900,0,janssen
Michigan,03/01/2021,82700,0,janssen
Minnesota,03/01/2021,45200,0,janssen
Ohio,03/01/2021,96100,0,janssen
Wisconsin,03/01/2021,48000,0,janssen
Arkansas,03/01/2021,24400,0,janssen
Louisiana,03/01/2021,37900,0,janssen
New Mexico,03/01/2021,17200,0,janssen
Oklahoma,03/01/2021,31500,0,janssen
Texas,03/01/2021,219200,0,janssen
Iowa,03/01/2021,25600,0,janssen
Kansas,03/01/2021,23400,0,janssen
Missouri,03/01/2021,50100,0,janssen
Nebraska,03/01/2021,15500,0,janssen
Colorado,03/01/2021,45500,0,janssen
Montana,03/01/2021,8700,0,janssen
North Dakota,03/01/2021,6300,0,janssen
South Dakota,03/01/2021,7000,0,janssen
Utah,03/01/2021,22800,0,janssen
Wyoming,03/01/2021,4800,0,janssen
Arizona,03/01/2021,56800,0,janssen
California,03/01/2021,320100,0,janssen
Hawaii,03/01/2021,11900,0,janssen
Nevada,03/01/2021,24000,0,janssen
American Samoa,03/01/2021,400,0,janssen
Guam,03/01/2021,1300,0,janssen
Marshall Islands,03/01/2021,600,0,janssen
Micronesia,03/01/2021,800,0,janssen
Mariana Islands,03/01/2021,400,0,janssen
Palau,03/01/2021,200,0,janssen
Alaska,03/01/2021,8900,0,janssen
Idaho,03/01/2021,13300,0,janssen
Oregon,03/01/2021,34400,0,janssen
Washington,03/01/2021,60900,0,janssen
Federal Entities,03/01/2021,139200,0,janssen
Connecticut,04/05/2021,37400,37400,moderna
Maine,04/05/2021,14300,14300,moderna
Massachusetts,04/05/2021,72100,72100,moderna
New Hampshire,04/05/2021,14300,14300,moderna
Rhode Island,04/05/2021,11300,11300,moderna
Vermont,04/05/2021,6700,6700,moderna
New Jersey,04/05/2021,91300,91300,moderna
New York,04/05/2021,116300,116300,moderna
New York City,04/05/2021,88300,88300,moderna
Puerto Rico,04/05/2021,35700,35700,moderna
U.S. Virgin Islands,04/05/2021,1100,1100,moderna
Delaware,04/05/2021,9900,9900,moderna
District of Columbia,04/05/2021,7500,7500,moderna
Maryland,04/05/2021,61600,61600,moderna
Pennsylvania,04/05/2021,117500,117500,moderna
Philadelphia,04/05/2021,16300,16300,moderna
Virginia,04/05/2021,86500,86500,moderna
West Virginia,04/05/2021,19300,19300,moderna
Alabama,04/05/2021,49800,49800,moderna
Florida,04/05/2021,217400,217400,moderna
Georgia,04/05/2021,103000,103000,moderna
Kentucky,04/05/2021,45300,45300,moderna
Mississippi,04/05/2021,30000,30000,moderna
North Carolina,04/05/2021,103900,103900,moderna
South Carolina,04/05/2021,51000,51000,moderna
Tennessee,04/05/2021,68100,68100,moderna
Chicago,04/05/2021,27700,27700,moderna
Illinois,04/05/2021,103100,103100,moderna
Indiana,04/05/2021,66900,66900,moderna
Michigan,04/05/2021,102600,102600,moderna
Minnesota,04/05/2021,56200,56200,moderna
Ohio,04/05/2021,119300,119300,moderna
Wisconsin,04/05/2021,59700,59700,moderna
Arkansas,04/05/2021,30200,30200,moderna
Louisiana,04/05/2021,47000,47000,moderna
New Mexico,04/05/2021,21400,21400,moderna
Oklahoma,04/05/2021,39200,39200,moderna
Texas,04/05/2021,272100,272100,moderna
Iowa,04/05/2021,31800,31800,moderna
Kansas,04/05/2021,29000,29000,moderna
Missouri,04/05/2021,62200,62200,moderna
Nebraska,04/05/2021,19200,19200,moderna
Colorado,04/05/2021,56500,56500,moderna
Montana,04/05/2021,10800,10800,moderna
North Dakota,04/05/2021,7800,7800,moderna
South Dakota,04/05/2021,8700,8700,moderna
Utah,04/05/2021,28300,28300,moderna
Wyoming,04/05/2021,5900,5900,moderna
Arizona,04/05/2021,70600,70600,moderna
California,04/05/2021,397400,397400,moderna
Hawaii,04/05/2021,14800,14800,moderna
Nevada,04/05/2021,29800,29800,moderna
American Samoa,04/05/2021,0,0,moderna
Guam,04/05/2021,0,0,moderna
Marshall Islands,04/05/2021,0,0,moderna
Micronesia,04/05/2021,0,0,moderna
Mariana Islands,04/05/2021,0,0,moderna
Palau,04/05/2021,0,0,moderna
Alaska,04/05/2021,0,0,moderna
Idaho,04/05/2021,16600,16600,moderna
Oregon,04/05/2021,42700,42700,moderna
Washington,04/05/2021,75700,75700,moderna
Federal Entities,04/05/2021,143000,143000,moderna
Connecticut,03/29/2021,35800,35800,moderna
Maine,03/29/2021,13700,13700,moderna
Massachusetts,03/29/2021,69000,69000,moderna
New Hampshire,03/29/2021,13700,13700,moderna
Rhode Island,03/29/2021,10800,10800,moderna
Vermont,03/29/2021,6500,6500,moderna
New Jersey,03/29/2021,87400,87400,moderna
New York,03/29/2021,111300,111300,moderna
New York City,03/29/2021,84500,84500,moderna
Puerto Rico,03/29/2021,34200,34200,moderna
U.S. Virgin Islands,03/29/2021,1100,1100,moderna
Delaware,03/29/2021,9500,9500,moderna
District of Columbia,03/29/2021,7200,7200,moderna
Maryland,03/29/2021,59000,59000,moderna
Pennsylvania,03/29/2021,112400,112400,moderna
Philadelphia,03/29/2021,15600,15600,moderna
Virginia,03/29/2021,82800,82800,moderna
West Virginia,03/29/2021,18500,18500,moderna
Alabama,03/29/2021,47700,47700,moderna
Florida,03/29/2021,208000,208000,moderna
Georgia,03/29/2021,98600,98600,moderna
Kentucky,03/29/2021,43400,43400,moderna
Mississippi,03/29/2021,28700,28700,moderna
North Carolina,03/29/2021,99500,99500,moderna
South Carolina,03/29/2021,48800,48800,moderna
Tennessee,03/29/2021,65200,65200,moderna
Chicago,03/29/2021,26500,26500,moderna
Illinois,03/29/2021,98700,98700,moderna
Indiana,03/29/2021,64100,64100,moderna
Michigan,03/29/2021,98200,98200,moderna
Minnesota,03/29/2021,53800,53800,moderna
Ohio,03/29/2021,114100,114100,moderna
Wisconsin,03/29/2021,57100,57100,moderna
Arkansas,03/29/2021,28900,28900,moderna
Louisiana,03/29/2021,45000,45000,moderna
New Mexico,03/29/2021,20500,20500,moderna
Oklahoma,03/29/2021,37500,37500,moderna
Texas,03/29/2021,260400,260400,moderna
Iowa,03/29/2021,30400,30400,moderna
Kansas,03/29/2021,27800,27800,moderna
Missouri,03/29/2021,59500,59500,moderna
Nebraska,03/29/2021,18400,18400,moderna
Colorado,03/29/2021,54100,54100,moderna
Montana,03/29/2021,10400,10400,moderna
North Dakota,03/29/2021,7500,7500,moderna
South Dakota,03/29/2021,8300,8300,moderna
Utah,03/29/2021,27100,27100,moderna
Wyoming,03/29/2021,5700,5700,moderna
Arizona,03/29/2021,67600,67600,moderna
California,03/29/2021,380300,380300,moderna
Hawaii,03/29/2021,14200,14200,moderna
Nevada,03/29/2021,28500,28500,moderna
American Samoa,03/29/2021,5000,0,moderna
Guam,03/29/2021,15000,0,moderna
Marshall Islands,03/29/2021,16800,0,moderna
Micronesia,03/29/2021,22600,0,moderna
Mariana Islands,03/29/2021,5000,0,moderna
Palau,03/29/2021,6200,0,moderna
Alaska,03/29/2021,52500,52500,moderna
Idaho,03/29/2021,15800,15800,moderna
Oregon,03/29/2021,40800,40800,moderna
Washington,03/29/2021,72400,72400,moderna
Federal Entities,03/29/2021,143000,143000,moderna
Connecticut,03/22/2021,35800,35800,moderna
Maine,03/22/2021,13700,13700,moderna
Massachusetts,03/22/2021,69000,69000,moderna
New Hampshire,03/22/2021,13700,13700,moderna
Rhode Island,03/22/2021,10800,10800,moderna
Vermont,03/22/2021,6500,6500,moderna
New Jersey,03/22/2021,87400,87400,moderna
New York,03/22/2021,111300,111300,moderna
New York City,03/22/2021,84500,84500,moderna
Puerto Rico,03/22/2021,34200,34200,moderna
U.S. Virgin Islands,03/22/2021,1100,1100,moderna
Delaware,03/22/2021,9500,9500,moderna
District of Columbia,03/22/2021,7200,7200,moderna
Maryland,03/22/2021,59000,59000,moderna
Pennsylvania,03/22/2021,112400,112400,moderna
Philadelphia,03/22/2021,15600,15600,moderna
Virginia,03/22/2021,82800,82800,moderna
West Virginia,03/22/2021,18500,18500,moderna
Alabama,03/22/2021,47700,47700,moderna
Florida,03/22/2021,208000,208000,moderna
Georgia,03/22/2021,98600,98600,moderna
Kentucky,03/22/2021,43400,43400,moderna
Mississippi,03/22/2021,28700,28700,moderna
North Carolina,03/22/2021,99500,99500,moderna
South Carolina,03/22/2021,48800,48800,moderna
Tennessee,03/22/2021,65200,65200,moderna
Chicago,03/22/2021,26500,26500,moderna
Illinois,03/22/2021,98700,98700,moderna
Indiana,03/22/2021,64100,64100,moderna
Michigan,03/22/2021,98200,98200,moderna
Minnesota,03/22/2021,53800,53800,moderna
Ohio,03/22/2021,114100,114100,moderna
Wisconsin,03/22/2021,57100,57100,moderna
Arkansas,03/22/2021,28900,28900,moderna
Louisiana,03/22/2021,45000,45000,moderna
New Mexico,03/22/2021,20500,20500,moderna
Oklahoma,03/22/2021,37500,37500,moderna
Texas,03/22/2021,260400,260400,moderna
Iowa,03/22/2021,30400,30400,moderna
Kansas,03/22/2021,27800,27800,moderna
Missouri,03/22/2021,59500,59500,moderna
Nebraska,03/22/2021,18400,18400,moderna
Colorado,03/22/2021,54100,54100,moderna
Montana,03/22/2021,10400,10400,moderna
North Dakota,03/22/2021,7500,7500,moderna
South Dakota,03/22/2021,8300,8300,moderna
Utah,03/22/2021,27100,27100,moderna
Wyoming,03/22/2021,5700,5700,moderna
Arizona,03/22/2021,67600,67600,moderna
California,03/22/2021,380300,380300,moderna
Hawaii,03/22/2021,14200,14200,moderna
Nevada,03/22/2021,28500,28500,moderna
